текст,класс_id,класс_название
неисправность автосцепки вагона,1,Тех. сбой
неисправность тормозного оборудования требуется ТО,1,Тех. сбой
задержка из-за неисправности контактной сети,1,Тех. сбой
обрыв троса стеклоочистителя задержка,1,Тех. сбой
задержка поезда 101 технические причины,1,Тех. сбой
поезд 3002 задерживается из-за неисправности,1,Тех. сбой
технический осмотр поезда задержка 20 минут,1,Тех. сбой
опоздание поезда 15 минут из-за неисправности локомотива,1,Тех. сбой
задержка отправления из-за технических причин,1,Тех. сбой
поезд стоит у запрещающего сигнала не может отправиться,1,Тех. сбой
задержка из-за технической неисправности вагона,1,Тех. сбой
поезд задержан из-за обнаруженного дефекта пути,1,Тех. сбой
сбой связи с локомотивом поезда 88,1,Тех. сбой
нарушена поездная радиосвязь на перегоне,1,Тех. сбой
неисправность системы КЛУБ-У,1,Тех. сбой
отказ АЛСН тягового подвижного состава,1,Тех. сбой
неисправность системы АСУТП,1,Тех. сбой
неисправность аппаратуры радиосвязи,1,Тех. сбой
сход вагона с рельсов авария,2,АВАРИЯ
поезд сошёл с рельсов требуется помощь,2,АВАРИЯ
столкновение поездов экстренная остановка,2,АВАРИЯ
поезд врезался в препятствие,2,АВАРИЯ
столкновение с посторонним объектом,2,АВАРИЯ
поезд сошёл с рельсов на стрелочном переводе,2,АВАРИЯ
сход подвижного состава на перегоне,2,АВАРИЯ
вагон сошёл в колею требуется восстановительный поезд,2,АВАРИЯ
опасность сход вагонов груз падает с платформы,2,АВАРИЯ
пожар в вагоне поезда 200,2,АВАРИЯ
пожар под вагоном поезда срочно,2,АВАРИЯ
задымление в тоннеле поезд остановлен,2,АВАРИЯ
авария локомотива дым огонь,2,АВАРИЯ
горит состав срочная остановка движения,2,АВАРИЯ
возгорание груза в вагоне,2,АВАРИЯ
человек на путях экстренная остановка,2,АВАРИЯ
экстренная остановка посторонний на путях,2,АВАРИЯ
авария на переезде машина на путях поезд едет,2,АВАРИЯ
автомобиль застрял на переезде поезд приближается,2,АВАРИЯ
посторонний предмет на рельсах,2,АВАРИЯ
вижу излом рельса на перегоне,2,АВАРИЯ
разрушение пути критическое состояние,2,АВАРИЯ
разрушен путь после оползня,2,АВАРИЯ
обрушение моста путь перекрыт,2,АВАРИЯ
снежный завал на путях не проехать,2,АВАРИЯ
обнаружен дефект рельса типа поперечный излом,2,АВАРИЯ
просадка пути угрожающая безопасности движения,2,АВАРИЯ
подмыв земляного полотна движение запрещено,2,АВАРИЯ
впереди преграда на пути срочно,2,АВАРИЯ
поезд обнаружил преграду на пути,2,АВАРИЯ
препятствие на рельсах требуется остановка,2,АВАРИЯ
помеха движению экстренное торможение применено,2,АВАРИЯ
поезд стоит перед преградой не может проехать,2,АВАРИЯ
на пути посторонний предмет крупногабаритный,2,АВАРИЯ
впереди на пути лежит упавшее дерево,2,АВАРИЯ
на переезде застрял трактор поезд не может проехать,2,АВАРИЯ
обрыв контактного провода лежит на путях,2,АВАРИЯ
упал токоприёмник лежит на пути,2,АВАРИЯ
короткое замыкание в контактной сети пожар,2,АВАРИЯ
критическая неисправность тормозов поезд не останавливается,2,АВАРИЯ
поезд потерял управление тормоза не работают,2,АВАРИЯ
неуправляемый состав движется по перегону,2,АВАРИЯ
отказ пневматических тормозов на всём составе,2,АВАРИЯ
взрыв в вагоне срочная остановка движения,2,АВАРИЯ
обнаружено взрывчатое вещество на перегоне,2,АВАРИЯ
критическое происшествие требуется эвакуация пассажиров,2,АВАРИЯ
экстренный сигнал от машиниста авария,2,АВАРИЯ
машинист подал сигнал тревоги три длинных,2,АВАРИЯ
экстренное торможение применено столкновение,2,АВАРИЯ
угроза безопасности движения требуется остановка всех поездов,2,АВАРИЯ
серьёзное происшествие на перегоне движение закрыто,2,АВАРИЯ
поезд не остановился у запрещающего сигнала проследовал,2,АВАРИЯ
самоход подвижного состава со стоянки,2,АВАРИЯ
